cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
O7417,0,0,0,0,0,0
O7419,0,0,0,0,0,0
O7382,1,0,101,0,1,101
O7389,0,0,0,0,0,0
O7379,0,0,0,0,0,0
O7359,1,0,190,0,1,190
O7349,0,1,0,94,1,94
O7351,0,1,0,222,1,222
N9089,0,0,0,0,0,0
N9124,0,1,0,282,1,282
N9207,1,0,183,0,1,183
N9243,1,1,52,183,1,235
N9295,0,0,0,0,0,0
N9311,0,1,0,444,1,444
N9388,0,0,0,0,0,0
N9446,0,1,0,217,1,217
N9689,0,0,0,0,0,0
N9742,0,0,0,0,0,0
N9806,0,0,0,0,0,0
N9879,0,0,0,0,0,0
O0104,0,0,0,0,0,0
O0182,0,0,0,0,0,0
O0456,0,0,0,0,0,0
O0474,0,0,0,0,0,0
O0488,0,0,0,0,0,0
O0506,0,0,0,0,0,0
O0522,0,0,0,0,0,0
O0541,0,0,0,0,0,0
O0695,0,1,0,347,1,347
O0763,0,0,0,0,0,0
O0876,0,0,0,0,0,0
O0951,0,0,0,0,0,0
O1042,0,0,0,0,0,0
O1446,0,0,0,0,0,0
O1516,0,0,0,0,0,0
O1631,0,0,0,0,0,0
O1774,0,0,0,0,0,0
O2198,0,0,0,0,0,0
O2382,0,0,0,0,0,0
O2539,0,1,0,383,1,383
O2700,0,0,0,0,0,0
O2901,0,0,0,0,0,0
O2928,0,0,0,0,0,0
O3116,0,0,0,0,0,0
O3117,0,0,0,0,0,0
O3226,0,1,0,105,1,105
O3519,0,0,0,0,0,0
O3756,0,0,0,0,0,0
O3766,0,0,0,0,0,0
O4316,0,0,0,0,0,0
O4322,1,0,73,0,1,73
O4576,0,0,0,0,0,0
O4680,0,0,0,0,0,0
O4753,0,0,0,0,0,0
O4886,1,0,312,0,1,312
O5119,0,0,0,0,0,0
O5252,0,0,0,0,0,0
O5811,1,0,79,0,1,79
O5869,1,0,68,0,1,68
O5887,0,1,0,812,1,812
O6197,0,0,0,0,0,0
O6231,0,0,0,0,0,0
O6339,0,0,0,0,0,0
O6422,0,0,0,0,0,0
O6568,0,0,0,0,0,0
O6682,0,1,0,714,1,714
O6816,0,0,0,0,0,0
O7296,0,0,0,0,0,0
N9570,0,0,0,0,0,0
N9594,0,0,0,0,0,0
N9868,0,0,0,0,0,0
N9877,0,0,0,0,0,0
O0299,0,0,0,0,0,0
O0458,0,0,0,0,0,0
