Metálico,Energia Elétrica,Densidade t/m3,Rendimento Metálico %
ESPS,343,"0,40","0,93"
RECA,359,"2,60","0,80"
PAEP,343,"0,70","0,93"
7071955,null,CAL,null
PACB,300,"0,54","0,83"
CAVA,405,"0,49","0,85"
GUSS,350,"3,00","0,91"
SHRE,350,"0,70","0,91"
OXIC,365,"0,65","0,88"
MISB,373,"1,20","0,89"
FOFO,294,"2,85","0,89"
MISM,373,"0,65","0,87"
CAFO,400,"1,45","0,80"
PACH,394,"0,54","0,83"
SUGU,359,"2,50","0,80"
ESPR,343,"1,20","0,93"
GUSD,293,"3,00","0,91"
RETL,324,"0,40","0,94"
8800022,null,COQUE,null
MISS,386,"0,30","0,87"
118441,293,"3,00","0,91"
ESBS,343,"0,50","0,93"
MARP,405,"0,49","0,85"
194032,387,"3,00","0,95"
FORJ,337,"1,20","0,93"
PAEB,343,"0,70","0,93"
EXTR,300,"0,70","0,90"
7071940,null,COQUE,null
GUSL,293,"7,40","0,95"
103089,293,"7,40","0,95"
